Periodo;# Clicks;# Registros IN;# Primer depósito IN;Total depositado IN;# Personas que apostaron IN;Total apostado;Net revenue IN
2023-03-06;857;0;0;1935,100252;181;12001,2006;-184,0994201
2023-03-06;;0;0;0;1;32,32858104;24,62704664
2023-03-07;975;0;2;5455,727148;186;52529,76505;-1115,490484
2023-03-07;;0;0;0;1;40,6227276;-5,54016616
2023-03-08;1079;1;1;1707,042535;198;114508,3937;-6187,557897
2023-03-09;917;0;1;2126,537112;212;34173,49439;91,8865883
2023-03-10;718;0;2;2139,534493;178;170388,0585;-3106,691865
2023-03-10;;0;0;0;1;17,22512921;17,22512921
2023-03-11;1044;0;0;3342,093601;180;179398,3523;-5301,210582
2023-03-12;963;1;1;5518,677721;190;289945,2713;25210,34666
2023-03-13;824;0;1;6666,221026;176;87746,85663;-7948,677958
2023-03-14;898;0;1;3925,319098;194;116583,6484;-1800,506546
2023-03-15;985;0;0;1803,912071;191;91707,67782;-19141,06275
2023-03-16;1000;0;1;2275,111847;197;132898,5325;-448,9536171
2023-03-17;756;0;0;3874,862628;164;31154,56504;1009,974093
2023-03-18;946;0;1;6287,2969;193;121894,4941;-776,2092414
2023-03-19;1024;0;1;2221,184571;201;44728,56154;-4138,240621
2023-03-20;774;1;1;5942,086762;170;132686,7191;9640,500639
2023-03-21;714;0;1;2611,726286;156;14394,94424;1763,613266
2023-03-21;1;;;;;;
2023-03-21;3;;;;;;
2023-03-21;2;;;;;;
2023-03-22;743;0;0;4529,448518;146;35221,64176;-1757,742051
2023-03-22;5;;;;;;
2023-03-23;785;1;0;8295,015147;174;134379,0538;-1206,386519
2023-03-24;757;0;0;7113,500225;162;58363,67278;4396,754673
2023-03-25;961;0;2;8084,142807;176;87171,19105;5812,936133
2023-03-26;734;5;5;10890,04731;179;155684,881;6792,820397
2023-03-27;734;1;0;7482,216104;153;79674,11117;6363,264415
2023-03-28;783;0;0;4076,732755;153;128150,1385;-10628,47555
2023-03-29;688;0;0;1960,237623;144;95901,39746;-2081,256663
2023-03-30;633;0;0;5296,472151;158;48136,83766;-3343,544539
2023-03-31;648;0;0;8860,757483;140;162727,3392;-811,2028617
2023-04-01;1095;0;1;5651,453646;171;45886,86131;-8859,730861
2023-04-02;425;0;0;3174,521764;183;13132,7742;1772,879649
2023-04-03;375;0;1;8264,785973;159;27091,08322;6875,988218
2023-04-04;1419;2;1;4828,346836;160;14527,62511;1049,035352
2023-04-05;956;0;1;8126,384651;182;38274,95914;-2159,961744
2023-04-06;745;2;3;10411,86678;192;57009,99049;7403,898213
2023-04-07;504;0;3;9500,97548;184;88033,04593;-4247,762067
2023-04-08;12;0;0;2289,638072;187;16559,36033;-330,8282822
2023-04-09;6;0;3;3817,33564;213;34094,5259;342,6816079
2023-04-10;7;0;0;2468,308282;188;10224,65706;1204,936301
2023-04-11;5;0;0;2012,687125;172;10039,23901;-311,9556619
2023-04-12;8;1;0;3245,228469;179;27841,50612;-5550,174394
2023-04-13;6;0;1;4433,215378;180;24310,96202;1062,906974
2023-04-14;3;0;0;11111,10171;160;77561,28468;-3722,187545
2023-04-15;9;1;1;12632,46382;203;65211,832;9215,276434
2023-04-16;7;1;1;6508,601654;200;36186,8394;-6719,244932
2023-04-17;9;0;1;1493,010788;161;6778,816917;823,4345144
2023-04-18;5;2;2;2865,34961;174;13942,57972;1173,565342
2023-04-19;5;0;2;2938,061338;194;9993,045015;79,42204654
2023-04-20;7;0;0;8253,989841;196;68747,8505;-6799,370602
2023-04-20;5;;;;;;
2023-04-21;6;0;0;8712,190485;165;192614,0777;-1693,88728
2023-04-21;3;;;;;;
2023-04-22;4;1;2;10146,94034;178;171341,737;17562,65634
2023-04-23;2;1;1;8085,547275;186;25907,20503;7085,858171
2023-04-24;5;0;2;8410,464684;147;107495,7385;6234,714595
2023-04-25;7;1;0;8676,854512;160;66432,08098;6098,496481
2023-04-26;4;0;2;2412,738141;185;10649,77228;-225,6592949
2023-04-27;3;2;1;2097,278592;175;20584,60334;30,34030716
2023-04-28;1;0;0;2437,356891;171;9911,032911;1175,542506
2023-04-29;3;1;2;3295,957054;204;12306,15623;293,6233273
2023-04-30;9;0;1;4249,474008;207;14290,15305;76,01878782
2023-05-01;9;0;1;2140,037027;184;9914,119507;-185,3678617
2023-05-02;3;0;0;7192,24483;196;103829,1342;4836,004981
2023-05-03;4;0;0;11180,37403;198;43707,55595;7005,605278
2023-05-04;2;0;0;5400,901134;200;30108,28407;790,3708449
2023-05-05;1;1;0;9571,607588;180;66755,42107;5140,161774
2023-05-06;;5;3;7630,680349;189;142841,1171;-1593,75997
2023-05-07;;3;3;6657,716984;212;48697,14705;3985,278524
2023-05-08;;3;2;3355,838761;170;11183,35696;1488,697337
2023-05-09;4;1;3;2617,899718;194;12915,12262;1781,168869
2023-05-09;12;;;;;;
2023-05-10;5;0;2;4531,744627;185;17184,87467;1275,991785
2023-05-10;3;;;;;;
2023-05-11;3;0;4;5695,793258;231;36345,28839;-2015,120628
2023-05-11;16;;;;;;
2023-05-12;3;0;0;6271,803186;207;177076,0112;-18013,6874
2023-05-12;1;;;;;;
2023-05-13;5;0;1;9777,587174;222;99147,95722;-1514,373855
2023-05-14;6;1;1;5211,805057;220;202823,614;10761,6395
2023-05-15;4;0;1;7747,182398;159;32468,12785;3405,881331
2023-05-15;2;;;;;;
2023-05-15;;0;0;20,30729;1;84,15340976;0,01760642
2023-05-16;5;0;1;3763,852945;160;83665,57007;-8464,355579
2023-05-16;;0;0;0;1;15,27734475;6,620182725
2023-05-17;5;0;2;8739,843551;207;172613,1737;8693,226296
2023-05-17;;0;0;0;1;5,089131;5,089131
2023-05-18;4;0;3;7548,504245;200;50384,60396;6520,061613
2023-05-18;3;;;;;;
2023-05-19;2;0;0;7437,134383;139;45939,92464;1060,074679
2023-05-20;6;0;1;6706,896198;197;33719,42632;4525,453017
2023-05-20;;0;0;0;1;17,08727126;2,001233967
2023-05-21;4;1;1;6297,913477;185;46065,48921;4107,751247
2023-05-21;;0;0;0;1;36,99044634;-20,91912136
2023-05-22;4;1;0;2714,084004;145;11148,0418;617,6437379
2023-05-22;;0;0;0;1;57,09960172;12,32646227
